name,abbreviation,country_id
"Alabama","AL","1228"
"Alaska","AK","1228"
"Arizona","AZ","1228"
"Arkansas","AR","1228"
"California","CA","1228"
"Colorado","CO","1228"
"Connecticut","CT","1228"
"Delaware","DE","1228"
"Florida","FL","1228"
"Georgia","GA","1228"
"Hawaii","HI","1228"
"Idaho","ID","1228"
"Illinois","IL","1228"
"Indiana","IN","1228"
"Iowa","IA","1228"
"Kansas","KS","1228"
"Kentucky","KY","1228"
"Louisiana","LA","1228"
"Maine","ME","1228"
"Maryland","MD","1228"
"Massachusetts","MA","1228"
"Michigan","MI","1228"
"Minnesota","MN","1228"
"Mississippi","MS","1228"
"Missouri","MO","1228"
"Montana","MT","1228"
"Nebraska","NE","1228"
"Nevada","NV","1228"
"New Hampshire","NH","1228"
"New Jersey","NJ","1228"
"New Mexico","NM","1228"
"New York","NY","1228"
"North Carolina","NC","1228"
"North Dakota","ND","1228"
"Ohio","OH","1228"
"Oklahoma","OK","1228"
"Oregon","OR","1228"
"Pennsylvania","PA","1228"
"Rhode Island","RI","1228"
"South Carolina","SC","1228"
"South Dakota","SD","1228"
"Tennessee","TN","1228"
"Texas","TX","1228"
"Utah","UT","1228"
"Vermont","VT","1228"
"Virginia","VA","1228"
"Washington","WA","1228"
"West Virginia","WV","1228"
"Wisconsin","WI","1228"
"Wyoming","WY","1228"
"District of Columbia","DC","1228"
"Alberta","AB","1039"
"British Columbia","BC","1039"
"Manitoba","MB","1039"
"New Brunswick","NB","1039"
"Newfoundland and Labrador","NL","1039"
"Northwest Territories","NT","1039"
"Nova Scotia","NS","1039"
"Nunavut","NU","1039"
"Ontario","ON","1039"
"Prince Edward Island","PE","1039"
"Quebec","QC","1039"
"Saskatchewan","SK","1039"
"Yukon Territory","YT","1039"
"Aberdeen City","ABE","1226"
"Aberdeenshire","ABD","1226"
"Angus","ANS","1226"
"Co Antrim","ANT","1226"
"Argyll and Bute","AGB","1226"
"Co Armagh","ARM","1226"
"Bedfordshire","BDF","1226"
"Gwent","BGW","1226"
"Bristol, City of","BST","1226"
"Buckinghamshire","BKM","1226"
"Cambridgeshire","CAM","1226"
"Cheshire","CHS","1226"
"Clackmannanshire","CLK","1226"
"Cornwall","CON","1226"
"Cumbria","CMA","1226"
"Derbyshire","DBY","1226"
"Co Londonderry","DRY","1226"
"Devon","DEV","1226"
"Dorset","DOR","1226"
"Co Down","DOW","1226"
"Dumfries and Galloway","DGY","1226"
"Dundee City","DND","1226"
"County Durham","DUR","1226"
"East Ayrshire","EAY","1226"
"East Dunbartonshire","EDU","1226"
"East Lothian","ELN","1226"
"East Renfrewshire","ERW","1226"
"East Riding of Yorkshire","ERY","1226"
"East Sussex","ESX","1226"
"Edinburgh, City of","EDH","1226"
"Na h-Eileanan Siar","ELS","1226"
"Essex","ESS","1226"
"Falkirk","FAL","1226"
"Co Fermanagh","FER","1226"
"Fife","FIF","1226"
"Glasgow City","GLG","1226"
"Gloucestershire","GLS","1226"
"Gwynedd","GWN","1226"
"Hampshire","HAM","1226"
"Herefordshire","HEF","1226"
"Hertfordshire","HRT","1226"
"Highland","HED","1226"
"Inverclyde","IVC","1226"
"Isle of Wight","IOW","1226"
"Kent","KEN","1226"
"Lancashire","LAN","1226"
"Leicestershire","LEC","1226"
"Midlothian","MLN","1226"
"Moray","MRY","1226"
"Norfolk","NFK","1226"
"North Ayrshire","NAY","1226"
"North Lanarkshire","NLK","1226"
"North Yorkshire","NYK","1226"
"Northamptonshire","NTH","1226"
"Northumberland","NBL","1226"
"Nottinghamshire","NTT","1226"
"Oldham","OLD","1226"
"Omagh","OMH","1226"
"Orkney Islands","ORR","1226"
"Oxfordshire","OXF","1226"
"Perth and Kinross","PKN","1226"
"Powys","POW","1226"
"Renfrewshire","RFW","1226"
"Rutland","RUT","1226"
"Scottish Borders","SCB","1226"
"Shetland Islands","ZET","1226"
"Shropshire","SHR","1226"
"Somerset","SOM","1226"
"South Ayrshire","SAY","1226"
"South Gloucestershire","SGC","1226"
"South Lanarkshire","SLK","1226"
"Staffordshire","STS","1226"
"Stirling","STG","1226"
"Suffolk","SFK","1226"
"Surrey","SRY","1226"
"Mid Glamorgan","VGL","1226"
"Warwickshire","WAR","1226"
"West Dunbartonshire","WDU","1226"
"West Lothian","WLN","1226"
"West Sussex","WSX","1226"
"Wiltshire","WIL","1226"
"Worcestershire","WOR","1226"
